Column1,Price2
USD/EUR,0.91
USD/GBP,0.79
USD/JPY,144.95
USD/CAD,1.34
USD/AUD,1.54
USD/MXN,16.99
USD/SEK,10.83
USD/SGD,1.35
EUR/USD,1.09
EUR/GBP,0.86
EUR/JPY,158.68
EUR/CAD,1.47
EUR/AUD,1.68
EUR/MXN,18.59
EUR/SEK,11.85
EUR/SGD,1.48
GBP/USD,1.27
GBP/EUR,1.16
GBP/JPY,184.06
GBP/CAD,1.71
GBP/AUD,1.95
GBP/MXN,21.57
GBP/SEK,13.74
GBP/SGD,1.72
JPY/USD,0.01
JPY/EUR,0.01
JPY/GBP,0.01
JPY/CAD,0.01
JPY/AUD,0.01
JPY/MXN,0.12
JPY/SEK,0.07
JPY/SGD,0.01
CAD/USD,0.74
CAD/EUR,0.68
CAD/GBP,0.59
CAD/JPY,107.80
CAD/AUD,1.14
CAD/MXN,12.63
CAD/SEK,8.05
CAD/SGD,1.01
AUD/USD,0.65
AUD/EUR,0.59
AUD/GBP,0.51
AUD/JPY,94.16
AUD/CAD,0.87
AUD/MXN,11.03
AUD/SEK,7.03
AUD/SGD,0.88
MXN/USD,0.06
MXN/EUR,0.05
MXN/GBP,0.05
MXN/JPY,8.51
MXN/CAD,0.08
MXN/AUD,0.09
MXN/SEK,0.64
MXN/SGD,0.08
SEK/USD,0.09
SEK/EUR,0.08
SEK/GBP,0.07
SEK/JPY,13.37
SEK/CAD,0.12
SEK/AUD,0.14
SEK/MXN,1.57
SEK/SGD,0.12
SGD/USD,0.74
SGD/EUR,0.68
SGD/GBP,0.58
SGD/JPY,107.15
SGD/CAD,0.99
SGD/AUD,1.14
SGD/MXN,12.56
SGD/SEK,8.00
